All,Összes
None,"Egyik sem"
"Allowed Scopes","Engedélyezett hatókörök"
"More permissions are needed to delete the ""%1"" item.","További engedélyek szükségesek a ""%1"" elem törléséhez."
"You need more permissions to apply some of the rule updates.","Több jogosultságra van szükség egyes szabályok frissítéseinek alkalmazásához."
"More permissions are needed to view this item.","További engedélyek szükségesek az elem megtekintéséhez."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Ezt az entitást hozzá kell rendelni egy bolt nézethez. Ellenőrizze az entitások hozzárendelését, és próbálkozzon újra."
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","Ezt a tételt hozzá kell rendelni egy áruházi nézethez.
                Kérem válasszon egy weboldalt ehhez a termékhez a ""Termék a weboldalakon"" oldalon."
"Orders can only be completed in an active store. Verify the store and try again.","Megrendeléseket csak aktív boltban lehet leadni. Ellenőrizze a bolt állapotát, és próbálkozzon újra."
"This item needs to be assigned to a store view. Assign item and try again.","Ezt a tételt hozzá kell rendelni egy áruházi nézethez. Rendelje hozzá, és próbálkozzon újra."
"More permissions are needed to save this item.","További engedélyek szükségesek az elem mentéséhez."
"More permissions are needed to delete this item.","További engedélyek szükségesek az elem törléséhez."
"At least one website or store group needs to be selected. Select and try again.","Legalább egy weboldalt vagy bolt csoportot ki kell választani. Jelölje ki, majd próbálkozzon újra."
"More permissions are needed to set All Scopes to a Role.","További jogosultságokra van szükség ahhoz, hogy az összes hatókört egy szerephez beállítsa."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","A(z) ""%1"" webhelyazonosító helytelen. Ellenőrizze a webhelyazonosítót, és próbálkozzon újra."
"You need more permissions to access website ""%1"".","""%1"" weboldal eléréséhez több jogosultságra van szükség."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","A(z) ""%1"" boltazonosító érvénytelen. Ellenőrizze az azonosítót, és próbálja újra."
"More permissions are needed to save this setting.","További engedélyek szükségesek a beállítás mentéséhez."
"Role Scopes","Szerepkör hatókörök"
Custom,Egyedi
"Read Details",Részletek
"Mark as Read","Megjelölés olvasottként"
"Are you sure?","Biztos benne?"
Remove,Eltávolítás
"Messages Inbox","Beérkezett üzenetek"
"You have %1 new system messages","%1 új rendszer üzenet"
"You have %1 new system message","%1 új rendszer üzenet"
"Incoming Message","Bejövő üzenet"
close,bezárás
Notifications,Értesítések
"The message has been marked as Read.","Az üzenet megjelölve olvasottként."
"We couldn't mark the notification as Read because of an error.","Az értesítés megjelölése olvasottként egy hiba miatt sikertelen."
"Please select messages.","Kérlek, válasszd ki az üzeneteket."
"A total of %1 record(s) have been marked as Read.","Összesen %1 rekord megjelölve olvasottként."
"Total of %1 record(s) have been removed.","Összesen %1 rekord eltávolítva."
"We couldn't remove the messages because of an error.","Az üzenetek törlése egy hiba miatt sikertelen."
"The message has been removed.","Az üzenet törölve."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Megtekintettél és orvosoltál minden rendszerüzenetet. Frissítsd az oldalt az értesítés törléséhez, eltüntetéséhez."
"1 Hour","1 óra"
"2 Hours","2 óra"
"6 Hours","6 óra"
"12 Hours","12 óra"
"24 Hours","24 óra"
critical,kritikus
major,súlyos
minor,elhanyagolható
notice,figyelmeztetés
"Wrong message type","Rossz üzenet típus"
"Wrong notification ID specified.","Hibás értesítés ID van megadva."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} használata nem javasolt éles környezetben mint nem biztonságos URL / biztonságos URL. Erősen javasolt ezen érték megváltoztatása a Magento <a href=""%1"">beállításokban</a>."
"One or more of the Cache Types are invalidated: %1. ","Egy vagy több gyorsítótár típus érvénytelenítve: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Kérlek, látogass el a <a href=""%1"">Gyorsítótár kezelése</a> oldalra és frissítsd a gyorsítótár típusokat."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Egy vagy több média fájl szinkronizálása sikertelen. Kérlek, olvasd el a részleteket a naplófájlban."
"Synchronization of media storages has been completed.","Média tároló frissítése befejeződött."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","A webszerver beállítása helytelen, és lehetővé teszi a jogosulatlan hozzáférést az érzékeny fájlokhoz. Kérlek, fordulj a tárhelyszolgáltatódhoz."
"System Messages:",Rendszerüzenetek:
"Critical System Messages","Kritikus rendszerüzenetek"
"Major System Messages","Fontos rendszerüzenetek"
"System messages",Rendszerüzenetek
Close,Bezár
"See All (","Összes megtekintése ("
" unread)"," olvasatlan)"
"System Messages",Rendszerüzenetek
"Show Toolbar","Eszköztár megjelenítése"
"Show List","Lista megjelenítése"
"Use HTTPS to Get Feed","HTTPS használata hírcsatornához"
"Update Frequency","Frissítési gyakoriság"
"Last Update","Utolsó frissítés"
Severity,Súlyosság
"Date Added","Hozzáadás dátuma"
Message,Üzenet
Actions,Műveletek
"Manage Shopping Cart","Kosár kezelése"
"Create Order","Rendelés létrehozása"
Back,Vissza
"Add Products","Termékek hozzáadása"
"Update Items and Quantities","A kosár tartalmának változtatása"
"Are you sure you want to clear your cart?","Biztos benne, hogy kiüríti a kosarat?"
"Clear my shopping cart","Kosár kiürítése"
"Add selections to my cart","A kiválasztott tételek kosárba rakása"
Cancel,Mégse
"Shopping Cart for %1 in %2","%1 kosara - %2"
"Select products you want to buy","Válassza ki a megvásárolni kívánt terméket"
Product,Termék
Price,Ár
Quantity,Mennyiség
"Products in the Comparison List (%1)","Termékek az összehasonlító listában (%1)"
"Last ordered items (%1)","Legutóbb megrendelt termékek (%1)"
Products,Termékek
ID,Azonosító
SKU,Cikkszám
"Recently Compared Products (%1)","Utoljára összehasonlított termékek (%1)"
"Recently Viewed Products (%1)","Utoljára megtekintett termékek (%1)"
"Add to Shopping Cart by SKU","Hozzáadás a kosárhoz cikkszám alapján"
"Add to Shopping Cart","Hozzáadás a kosárhoz"
"Wish List (%1)","Kívánságlista (%1)"
Apply,Alkalmazás
Configure,Konfigurálás
"Add to Order by SKU","Hozzáadás a rendeléshez cikkszám alapján"
"Add to Order","Hozzáadás a rendeléshez"
"Add Products to Order","Termékek hozzáadása a rendeléshez"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span>a következő termékek figyelmet igényelnek: <span id=""sku-attention-num"">%1</span>.</span>"
"Remove All","Összes eltávolítása"
"Only %1%2%3 left in stock","Csak %1%2%3 maradt készleten"
"You can buy up to %1 of these per purchase.","Maximum %1 darab vásárolható megrendelésenként."
"You must buy at least %1 of these per purchase.","Legalább %1 darab vásárolandó megrendelésenként."
"Specify the product's options.","Adja meg a termék paramétereit."
"Alert me when this item is available.","Értesíts, ha a termék elérhetővé válik."
"This customer couldn't be found. Verify the customer and try again.","Ez a vásárló nem található. Ellenőrizze a vásárlót, és próbálja újra."
"Shopping cart management is disabled for this customer.","A vevő bevásárló kosara le van tiltva."
"This store couldn't be found. Verify the store and try again.","Ez a bolt nem található. Ellenőrizze a boltot, és próbálja újra."
Customers,Vásárlók
"Shopping Cart",Kosár
"An error occurred. For details, see the error log.","Hiba történt. Részletekért lásd a hibanaplót."
"You do not have access to this.","Nincs hozzáférése ehhez."
"The ordered item needs to be loaded. Load the item and try again.","A megrendelt elemet be kell tölteni. Töltse be az elemet, és próbálja újra."
"The quote item ID needs to be received. Set the ID and try again.","A megadott elem azonosítóját be kell tölteni. Állítsa be az elem azonosítóját, és próbálja újra."
"The quote item needs to be loaded. Load the item and try again.","A megrendelt elemet be kell tölteni. Töltse be az elemet, és próbálja újra."
"The wish list item ID needs to be received. Set the ID and try again.","A kívánságlista elem azonosítóját be kell tölteni. Állítsa be az azonosítót, és próbálja újra."
"The wish list item needs to be loaded. Load the item and try again.","A kívánságlista elemet be kell tölteni. Töltse be az elemet, és próbálja újra."
"An error has occurred. See error log for details.","Hiba történt. Részletek a hibanaplóban."
"You cannot configure a product.","A terméket nem lehet konfigurálni."
"You removed the items.","A termékek törölve lettek."
"You removed the item.","A termék törölve lett."
"You added %1 to your shopping cart.","%1 a kosárba került."
"You cannot add a product.","Nem lehet hozzáadni terméket."
"Order by SKU","Rendelés cikkszám szerint"
"The SKU was not found in the catalog.","A cikkszám nem található a katalógusban."
"Availability: Out of stock.","Elérhetőség: Nincs raktáron."
"We don't have as many of these as you want.","Az adott termékből nem áll rendelkezésre a kívánt mennyiség."
"You can't add this many to your cart.","A megadott mennyiséget nem lehet a kosárba helyezni."
"You need to choose options for your item.","Meg kell adnia a termék jellemzőit."
"We can't add the item to your cart.","A terméket nem lehet a kosárba helyezni."
"Please enter an actual number in the ""Qty"" field.","Kérjük egy számot adjon meg a ""Mennyiség"" mezőben."
"This product is assigned to another website.","Ez a termék egy másik weblaphoz van rendelve."
"You can add only enabled products.","Csak engedélyezett termékeket adhat a kosárhoz."
"You cannot upload this file.","Ezt a fájlt nem lehet feltölteni."
"The file is empty.","A fájl üres."
